Temp (C), Hum (%), CO2 (ppm), tVOC (ppb), Light (Lux)
1:   18, 47,    108,    0, 0
2:   18, 47,    59,    481, 12
3:   18, 47,    61,    524, 18
4:   18, 47,    52,    519, 18
5:   18, 47,    87,    514, 17
6:   18, 47,    76,    529, 19
7:   18, 47,    63,    549, 22
8:   19, 47,    59,    542, 21
9:   19, 47,    61,    672, 41
10:   19, 47,    68,    715, 47
11:   19, 47,    75,    744, 52
12:   19, 47,    72,    787, 58
13:   19, 47,    67,    848, 68
14:   19, 48,    72,    895, 75
15:   19, 48,    61,    915, 78
16:   19, 48,    62,    872, 71
17:   19, 48,    69,    942, 82
18:   19, 48,    75,    1090, 105
19:   19, 48,    70,    1153, 114
20:   19, 48,    69,    1184, 119
21:   19, 48,    63,    1204, 122
22:   19, 48,    58,    1235, 127
23:   19, 48,    55,    1295, 136
24:   19, 48,    55,    1364, 146
25:   19, 48,    52,    1393, 151
26:   19, 48,    51,    1425, 156
27:   19, 48,    49,    1474, 163
28:   19, 48,    30,    1497, 170
29:   19, 48,    29,    1509, 178
30:   19, 48,    30,    1528, 191
31:   19, 48,    30,    1530, 192
32:   19, 48,    27,    1544, 203
33:   19, 49,    31,    1563, 217
34:   19, 49,    34,    1563, 217
35:   19, 49,    28,    1579, 228
36:   19, 49,    44,    1585, 232
37:   19, 49,    46,    1601, 246
38:   19, 49,    43,    1595, 240
39:   19, 49,    41,    1598, 244
40:   19, 49,    39,    1619, 263
41:   19, 50,    37,    1623, 265
42:   19, 50,    35,    1628, 271
43:   19, 50,    33,    1637, 279
44:   19, 48,    31,    1614, 258
45:   19, 46,    30,    1652, 292
46:   19, 46,    29,    1627, 269
47:   19, 46,    27,    1627, 269
48:   19, 46,    26,    1631, 273
49:   19, 46,    25,    1635, 277
50:   19, 46,    24,    1644, 285
51:   19, 46,    23,    1641, 283
52:   19, 46,    22,    1691, 330
53:   19, 46,    22,    1689, 327
54:   19, 46,    22,    1669, 308
55:   19, 46,    21,    1674, 313
56:   19, 46,    20,    1685, 323
57:   19, 46,    19,    1677, 316
58:   19, 46,    17,    1669, 308
59:   19, 46,    16,    1680, 319
60:   19, 46,    15,    1667, 305
61:   19, 46,    13,    1677, 315
62:   19, 46,    12,    1676, 314
63:   19, 45,    11,    1699, 337
64:   19, 46,    9,    1074, 102
65:   18, 45,    10,    844, 67
66:   17, 45,    9,    588, 28
67:   17, 44,    9,    603, 30
68:   17, 45,    8,    497, 14
69:   16, 45,    7,    496, 14
70:   16, 46,    7,    457, 8
71:   16, 47,    6,    492, 14
72:   16, 47,    5,    481, 12
73:   15, 47,    5,    451, 7
74:   15, 47,    5,    480, 12
75:   15, 48,    5,    461, 9
76:   15, 48,    4,    478, 11
77:   15, 49,    4,    537, 20
78:   15, 49,    4,    542, 21
79:   15, 49,    3,    481, 12
80:   15, 50,    3,    403, 0
81:   14, 50,    3,    483, 12
82:   14, 51,    3,    586, 28
83:   14, 51,    3,    491, 13
84:   15, 50,    3,    581, 27
85:   15, 50,    3,    527, 19
86:   15, 50,    3,    617, 33
87:   15, 50,    3,    588, 28
88:   15, 50,    3,    596, 29
89:   15, 50,    3,    715, 47
90:   15, 50,    3,    473, 11
91:   15, 49,    3,    620, 33
92:   14, 51,    3,    637, 36
93:   15, 50,    3,    872, 71
94:   15, 50,    3,    704, 46
95:   15, 49,    3,    672, 41
96:   15, 48,    2,    641, 36
97:   15, 48,    2,    848, 68
98:   15, 48,    2,    813, 62
99:   15, 48,    2,    810, 62
100:   15, 48,    2,    652, 38
101:   15, 47,    2,    715, 47
102:   15, 48,    2,    660, 39
103:   15, 48,    2,    732, 50
104:   15, 48,    2,    776, 57
105:   15, 48,    2,    744, 52
106:   15, 48,    2,    759, 54
107:   15, 48,    2,    770, 56
108:   15, 48,    2,    813, 62
109:   15, 48,    2,    821, 64
110:   15, 48,    2,    827, 65
111:   15, 48,    2,    728, 49
112:   15, 48,    3,    800, 60
113:   15, 48,    2,    761, 54
114:   15, 48,    3,    1004, 92
115:   15, 49,    2,    902, 76
116:   15, 49,    2,    1099, 106
117:   15, 50,    2,    1174, 117
118:   16, 49,    2,    1252, 129
119:   16, 48,    2,    1321, 140
120:   16, 48,    2,    1393, 151
121:   17, 48,    2,    1458, 161
122:   17, 48,    2,    1495, 168
123:   17, 48,    2,    1504, 174
124:   17, 48,    2,    1520, 185
125:   17, 47,    2,    1536, 196
126:   17, 47,    2,    1546, 204
127:   17, 47,    2,    1555, 209
128:   17, 47,    2,    1564, 218
129:   17, 47,    2,    1582, 230
130:   17, 47,    2,    1595, 240
131:   17, 47,    2,    1595, 242
132:   17, 47,    3,    1738, 377
133:   18, 48,    2,    1636, 278
134:   18, 48,    1,    1621, 265
135:   18, 47,    0,    1640, 281
136:   18, 47,    0,    1651, 290
137:   18, 47,    0,    1663, 301
138:   18, 47,    0,    1665, 304
139:   18, 47,    0,    1664, 302
140:   18, 47,    0,    1667, 305
141:   18, 47,    0,    1664, 303
142:   18, 47,    0,    1660, 298
143:   18, 47,    0,    1669, 308
144:   18, 47,    0,    1668, 307
145:   18, 48,    0,    1674, 313
146:   18, 48,    0,    1673, 312
147:   18, 47,    0,    1671, 310
148:   18, 48,    0,    1677, 316
149:   18, 48,    0,    1677, 315
150:   18, 48,    0,    1673, 312
151:   18, 48,    0,    1678, 318
152:   18, 48,    0,    1676, 314
153:   18, 48,    0,    1676, 314
154:   18, 48,    0,    1668, 306
155:   18, 47,    0,    1681, 320
156:   18, 48,    0,    1685, 323
157:   18, 48,    0,    1685, 323
158:   18, 48,    0,    1682, 321
159:   18, 48,    0,    1686, 325
160:   18, 48,    0,    1685, 323
161:   18, 48,    0,    1660, 299
162:   18, 48,    0,    1663, 301
163:   18, 48,    0,    1669, 308
164:   18, 48,    0,    1674, 313
165:   18, 48,    0,    1674, 313
166:   18, 48,    0,    1677, 315
167:   18, 48,    0,    1671, 310
168:   18, 47,    0,    1674, 313
169:   18, 47,    0,    1682, 321
170:   18, 47,    0,    1680, 319
171:   18, 47,    0,    1680, 319
172:   18, 47,    0,    1677, 316
173:   18, 48,    0,    1677, 316
174:   18, 47,    0,    1674, 313
175:   18, 47,    0,    1680, 319
176:   18, 48,    0,    1677, 315
177:   18, 48,    0,    1683, 322
178:   18, 48,    0,    1676, 314
179:   18, 47,    0,    1668, 306
180:   18, 47,    0,    1672, 311
181:   18, 47,    0,    1678, 318
182:   18, 47,    0,    1669, 308
183:   18, 47,    0,    1677, 315
184:   18, 47,    3,    1686, 325
185:   18, 48,    2,    1715, 354
186:   18, 47,    2,    1714, 352
187:   18, 47,    2,    1741, 381
188:   18, 49,    2,    1741, 381
189:   18, 47,    2,    1754, 395
190:   18, 48,    2,    1774, 418
191:   18, 48,    2,    1860, 529
192:   18, 49,    2,    1959, 676
193:   18, 49,    2,    2156, 1044
194:   18, 49,    2,    2462, 1698
195:   18, 51,    2,    2715, 2251
196:   19, 50,    2,    2730, 2291
197:   19, 49,    2,    2679, 2154
198:   19, 49,    3,    2380, 1528
199:   19, 47,    3,    2351, 1466
200:   19, 45,    2,    2322, 1409
201:   19, 46,    2,    2320, 1400
202:   19, 45,    2,    2347, 1453
203:   19, 45,    2,    2357, 1476
204:   19, 45,    2,    2370, 1505
205:   18, 45,    2,    2382, 1532
206:   19, 46,    2,    2392, 1552
207:   18, 46,    2,    2406, 1578
208:   18, 46,    2,    2450, 1673
209:   18, 46,    2,    2447, 1663
210:   18, 46,    2,    2460, 1693
211:   18, 46,    2,    2459, 1683
212:   18, 46,    2,    2473, 1718
213:   18, 46,    2,    2487, 1748
214:   18, 46,    2,    2487, 1748
